Título,Autor,Materia,Resumen,Fecha,Idioma
Encuentros cercanos con argumentos del “tercer tipo”: razonamiento plausible y probabilidad subjetiva como modelos de evaluación de argumentos,"Gaviria,Christian",lógica informal,"Este artículo presenta un análisis comparativo de los modelos de argumentación basados en las nociones de probabilidad subjetiva y de razonamiento plausible. Se hacen explícitos los “parecidos de familia” entre probabilidad y plausibilidad, y se examinan las diferencias en las prescripciones invocadas para la evaluación de tres tipos de falacias informales: apelación a la autoridad (ad verecundiam), a la popularidad (ad populum) y petición de principio (petitio principii). Se concluye que el razonamiento plausible, como Rescher y Walton lo describen, no proporciona una alternativa sólida a la probabilidad como modelo normativo o descriptivo de la evaluación de argumentos.",01/01/2014,es
La filosofía de la biología y los estudios de género. Una simbiosis demorada,"Guerrero Mc Manus,Fabrizzio",feminismo analítico,"Este texto busca generar un espacio de interlocución entre filósofos de la biología y estudiosos del género. En el marco del feminismo analítico ofrece dos ejemplos concretos que buscan ilustrar la fecundidad de dicho encuentro. Por un lado, se examina la acusación de esencialismo que generalmente se esgrime en contra de la biología y se le replantea a la luz de la filosofía de la taxonomía. Por otro lado, se analiza la estructura de las explicaciones biológicas del género y la sexualidad a la luz de las llamadas falacias ontogenética y filogenética.",01/01/2014,es
"Expresabilidad, validez y recursos lógicos","Barrio,Eduardo Alejandro",la paradoja de la validez,"El objetivo de este artículo es investigar diversos resultados limitativos acerca del concepto de validez. En particular, argumento que ninguna teoría lógica de orden superior con semántica estándar puede tener recursos expresivos suficientes como para capturar su propio concepto de validez. Además, muestro que la lógica de la verdad transparente que Hartry Field desarrolló recientemente conduce a resultados limitativos similares.",01/01/2014,es
"Creencia de primera persona, conciencia y la paradoja de Eroom","Vidal,Javier",referencia de primera persona,"En este artículo se trata de mostrar que existe una relación necesaria, no contingente, entre tener una creencia de primera persona y creer conscientemente: una creencia de primera persona es necesariamente consciente. Pero de aquí se siguen al menos dos importantes consecuencias. Primero, tendría que ser abandonada una teoría de la conciencia según la cual un estado mental es consciente cuando va acompañado por un pensamiento o una creencia de orden superior acerca de ese estado. Segundo, podría darse cierta explicación de la paradoja de Eroom, que es el sinsentido de aseverar o de creer algo de la forma “ p y yo creo inconscientemente que p”.",01/01/2014,es
El triple estándar de la razón pública,"Vaca,Moisés",liberalismo político,"Varios autores afines al proyecto del liberalismo político han propuesto diferentes modelos de razón pública para enfrentar la situación de desacuerdo moral permanente en las sociedades liberales. En este trabajo presentamos un modelo que defiende dos argumentos. Primero, argumentamos a favor de una interpretación deflacionista de las razones que son aceptables para los ciudadanos razonables. Segundo, introducimos una nueva terminología que distingue entre lo que llamamos razones dependientes, accesibles y aceptables. Sostenemos que sólo las segundas y las terceras son medios adecuados de discusión dentro de la razón pública, y las terceras son un estándar correcto de justificación de política pública.",01/01/2014,es
¿Cómo mide el riesgo el observador imparcial?,"Heras,Antonio J.",posición original,"Exploramos aquí la conexión entre los conceptos de riesgo e igualdad en el argumento del observador imparcial. La concepción de la justicia que elegiría un observador imparcial se justifica por la pureza del procedimiento de elección. Sin embargo, si modelizamos esta decisión utilizando medidas del riesgo habituales en matemática financiera, veremos cómo el criterio de elección del observador bajo el velo de la ignorancia contiene una preferencia implícita por el grado de desigualdad resultante. Esto nos obliga a reconsiderar la pureza procedimental de la elección.",01/01/2015,es
La abstinencia epistémica: un análisis crítico en torno al problema de la verdad en el liberalismo político,"Curcó Cobos,Felipe",falibilismo epistémico,"Me propongo analizar críticamente la idea de abstinencia epistémica desarrollada por un importante grupo de teóricos liberales a partir de los años ochenta del siglo pasado. Para los propósitos del liberalismo político la propuesta de la abstinencia epistémica desempeña un papel crucial. Consiste en garantizar el consenso en torno a las reglas procesales y principios públicos de justicia, exigiendo que la pluralidad de intereses y concepciones sustantivas que coexisten en la sociedad se abstengan de realizar atribuciones de verdad sobre sus propias concepciones morales cuando éstas son debatidas en la esfera pública. Mi argumento es que esta estrategia fracasa toda vez que la abstinencia epistémica no resiste la aplicación de sus propias cláusulas a sí misma.",01/01/2015,es
Racionalidad y acción no reflexiva. El debate Dreyfus-McDowell,"Hernández Betancur,Juan Pablo",intelectualismo,El debate reciente iniciado por Hubert Dreyfus y John McDowell ha llamado la atención sobre la relación entre racionalidad y acción no reflexiva. En este artículo propongo una forma de especificar el desacuerdo entre quienes llamaré intelectualistas y antiintelectualistas. A la luz de esta propuesta arguyo que el principal argumento antiintelectualista sólo tiene éxito si se acepta al menos uno de tres presupuestos implícitos que están lejos de ser autoevidentes y cuya verdad es puesta en duda por fenómenos familiares. Termino con consideraciones que sugieren que el intelectualista ha quedado en una mejor posición argumentativa.,01/01/2015,es
Sobre el uso de heurísticas como posible solución del problema de marco,"Silenzi,María Inés",ciencias cognitivas,"Se ha propuesto (y criticado) el uso de heurísticas como una herramienta para solucionar el problema de marco. Los objetivos de este trabajo son proveer una clarificación de la literatura filosófica sobre el tema e intentar resolver los debates pendientes considerando la evidencia empírica disponible. Luego de distinguir varios aspectos del problema de marco, analizaremos las disputas filosóficas sobre el tema. A continuación comentaremos la literatura sobre la evidencia empírica relevante proveniente de la psicología cognitiva. Argumentaremos que las heurísticas pueden ser útiles para solucionar sólo un aspecto del problema de marco, aun con varias restricciones.",01/01/2015,es
Una propuesta modal sobre la T -teoricidad y el papel de los postulados y axiomas en las teorías científicas,"Dahlquis,Manuel",Carnap,"El denominado ""problema de los términos teóricos"" que inicialmente formulo Sneed (1971) surge de la interpretación que de los términos teóricos hace la concepción heredada. Esta lectura no se condice con la interpretación indirecta de los términos teóricos que Carnap realiza (1937, 1939) al utilizar postulados. Estos textos proponen una interpretación holística de las teorías científicas, solo adecuadamente tratada en una semántica de mundos posibles. Andreas (2008, 2010) proporciona un tratamiento modal de los términos teóricos; nosotros presentamos estos resultados en términos de modelos de Kripke; luego los extendemos con el fin de que sean capaces de distinguir entre axiomas y oraciones teóricas, generando un modelo capaz de tratarlos de manera diferenciada y que aporte nuevos resultados lógicos y filosóficos.",01/01/2015,es
La noción positiva de ciencia de Paul Karl Feyerabend,"Gargiulo de Vázquez,María Teresa",anarquismo epistemológico,"El pensamiento de Feyerabend ha sido objeto de múltiples y divergentes interpretaciones, entre las que parece ser unánime la inscripción de su obra dentro de las coordenadas de un escepticismo radical. Estas lecturas encuentran parcialmente sustento en su anarquismo epistemológico, el cual constituye en sí mismo una reducción al absurdo de los intentos del positivismo lógico y del racionalismo crítico de definir axiomática o metodológicamente la ciencia. En este sentido, su obra puede ser entendida, en parte, como una argumentación negativa y escéptica con respecto a aquellas nociones de ciencia. No obstante, esta hermenéutica no deja de ofrecer una visión fragmentaria y parcial de su pensamiento. El propósito de este artículo es reconstruir el itinerario intelectual a partir del cual Feyerabend va madurando su comprensión positiva de la ciencia para trascender las hermenéuticas de su obra en la clave del escepticismo.",01/01/2015,es
